ticket_id,customer_id,created_at,resolved_at,category,priority,status,resolution_time_hours,ticket_text
1,7590-VHVEG,2026-08-18,2026-08-18,billing,medium,closed,6.27,Reported a failed payment and requested a retry.
2,5575-GNVDE,2026-05-19,,billing,medium,open,,Asked why the monthly charge increased without notice.
3,3668-QPYBK,2026-06-05,,other,low,open,,Requested a copy of past invoices.
4,3668-QPYBK,2026-05-02,2026-05-03,technical,high,closed,40.91,Reported repeated login failures over the past week.
5,3668-QPYBK,2026-04-28,2026-04-28,other,low,closed,16.99,Asked about cancellation policy and notice period.
6,3668-QPYBK,2026-03-29,,other,medium,open,,General question about plan upgrade options.
7,3668-QPYBK,2026-08-20,,other,medium,open,,Requested a copy of past invoices.
8,3668-QPYBK,2026-08-24,,billing,medium,open,,Requested a refund for a duplicate charge.
9,9237-HQITU,2026-08-22,,technical,high,open,,Requested help configuring an integration.
10,9237-HQITU,2026-07-18,2026-07-20,billing,medium,closed,69.49,Reported a failed payment and requested a retry.
11,9305-CDSKC,2026-05-26,2026-05-26,billing,medium,closed,17.78,Reported a failed payment and requested a retry.
12,9305-CDSKC,2026-05-28,2026-05-29,technical,medium,closed,29.72,Feature X is not syncing data correctly.
13,1452-KIOVK,2026-07-03,2026-07-03,technical,low,closed,4.41,Feature X is not syncing data correctly.
14,6713-OKOMC,2026-03-29,,other,medium,open,,Requested a copy of past invoices.
15,7892-POOKP,2026-06-12,,billing,low,open,,Requested a refund for a duplicate charge.
16,7892-POOKP,2026-07-31,2026-08-01,technical,medium,closed,46.95,Reported repeated login failures over the past week.
17,6388-TABGU,2026-08-06,,billing,medium,open,,Requested a refund for a duplicate charge.
18,7469-LKBCI,2026-04-19,2026-04-19,other,low,closed,17.93,Asked about cancellation policy and notice period.
19,7469-LKBCI,2026-05-02,,other,low,open,,Provided feedback about the onboarding experience.
20,8091-TTVAX,2026-07-28,2026-07-29,other,medium,closed,42.2,Asked about cancellation policy and notice period.
21,8091-TTVAX,2026-05-07,2026-05-07,technical,low,closed,10.96,Requested help configuring an integration.
22,8091-TTVAX,2026-04-03,,technical,medium,open,,Reported repeated login failures over the past week.
23,0280-XJGEX,2026-04-11,,technical,high,open,,App crashes when loading the dashboard view.
24,0280-XJGEX,2026-05-23,2026-05-25,billing,medium,closed,65.1,Asked why the monthly charge increased without notice.
25,0280-XJGEX,2026-06-26,,technical,medium,open,,App crashes when loading the dashboard view.
26,8191-XWSZG,2026-03-27,2026-03-27,billing,medium,closed,10.6,Customer disputes a charge on their most recent invoice.
27,9959-WOFKT,2026-07-08,2026-07-08,other,medium,closed,15.3,Provided feedback about the onboarding experience.
28,9959-WOFKT,2026-05-10,2026-05-11,billing,low,closed,43.15,Requested a refund for a duplicate charge.
29,4190-MFLUW,2026-08-02,,technical,high,open,,App crashes when loading the dashboard view.
30,4190-MFLUW,2026-03-26,2026-03-28,other,high,closed,58.51,Asked about cancellation policy and notice period.
31,4183-MYFRB,2026-04-01,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
32,4183-MYFRB,2026-05-27,,technical,medium,open,,Feature X is not syncing data correctly.
33,1680-VDCWW,2026-07-03,2026-07-03,billing,medium,closed,21.75,Reported a failed payment and requested a retry.
34,3638-WEABW,2026-03-22,2026-03-22,technical,medium,closed,13.5,Requested help configuring an integration.
35,3638-WEABW,2026-08-31,2026-09-01,other,high,closed,37.16,Requested a copy of past invoices.
36,6865-JZNKO,2026-09-03,2026-09-03,billing,medium,closed,15.45,Reported a failed payment and requested a retry.
37,6467-CHFZW,2026-06-19,2026-06-19,billing,low,closed,3.68,Customer disputes a charge on their most recent invoice.
38,6467-CHFZW,2026-04-22,,billing,medium,open,,Asked why the monthly charge increased without notice.
39,3841-NFECX,2026-04-21,,other,medium,open,,Provided feedback about the onboarding experience.
40,7310-EGVHZ,2026-08-04,2026-08-05,technical,high,closed,28.43,Feature X is not syncing data correctly.
41,7310-EGVHZ,2026-03-26,2026-03-27,other,high,closed,37.87,General question about plan upgrade options.
42,3413-BMNZE,2026-09-02,2026-09-02,billing,high,closed,16.74,Requested a refund for a duplicate charge.
43,3413-BMNZE,2026-07-25,2026-07-25,billing,medium,closed,19.8,Reported a failed payment and requested a retry.
44,6234-RAAPL,2026-08-31,2026-08-31,technical,medium,closed,15.56,Feature X is not syncing data correctly.
45,6234-RAAPL,2026-08-18,2026-08-18,billing,high,closed,21.06,Requested a refund for a duplicate charge.
46,6234-RAAPL,2026-05-28,2026-05-28,other,high,closed,10.24,Requested a copy of past invoices.
47,8168-UQWWF,2026-06-06,,other,medium,open,,Requested a copy of past invoices.
48,9489-DEDVP,2026-06-29,2026-06-29,technical,low,closed,9.68,Reported repeated login failures over the past week.
49,9867-JCZSP,2026-03-22,,other,high,open,,Requested a copy of past invoices.
50,4080-IIARD,2026-04-07,2026-04-07,other,high,closed,19.6,Requested a copy of past invoices.
51,4080-IIARD,2026-08-21,2026-08-22,other,medium,closed,38.82,General question about plan upgrade options.
52,7760-OYPDY,2026-04-22,2026-04-22,billing,medium,closed,4.7,Customer disputes a charge on their most recent invoice.
53,7639-LIAYI,2026-04-10,2026-04-10,technical,low,closed,14.52,Reported repeated login failures over the past week.
54,7639-LIAYI,2026-06-29,2026-06-30,technical,medium,closed,32.03,App crashes when loading the dashboard view.
55,7639-LIAYI,2026-05-03,,billing,medium,open,,Customer disputes a charge on their most recent invoice.
56,2954-PIBKO,2026-07-24,2026-07-24,technical,low,closed,15.48,Requested help configuring an integration.
57,2954-PIBKO,2026-09-14,2026-09-15,technical,medium,closed,36.13,App crashes when loading the dashboard view.
58,2954-PIBKO,2026-07-15,2026-07-15,technical,medium,closed,6.88,Requested help configuring an integration.
59,4667-QONEA,2026-06-21,2026-06-22,technical,medium,closed,47.78,Feature X is not syncing data correctly.
60,4667-QONEA,2026-07-07,2026-07-08,other,medium,closed,30.29,Requested a copy of past invoices.
61,4667-QONEA,2026-07-31,2026-08-01,billing,medium,closed,40.74,Asked why the monthly charge increased without notice.
62,1658-BYGOY,2026-04-04,2026-04-04,technical,high,closed,1.01,Requested help configuring an integration.
63,1658-BYGOY,2026-04-26,,other,medium,open,,Provided feedback about the onboarding experience.
64,5067-XJQFU,2026-07-29,2026-07-29,billing,medium,closed,17.94,Customer disputes a charge on their most recent invoice.
65,5954-BDFSG,2026-05-10,2026-05-10,billing,medium,closed,15.66,Reported a failed payment and requested a retry.
66,1215-FIGMP,2026-09-05,2026-09-05,billing,low,closed,1.01,Requested a refund for a duplicate charge.
