ticket_id,customer_id,created_at,resolved_at,category,priority,status,resolution_time_hours,ticket_text
1,CUST-000001,2026-03-29,2026-03-30,billing,medium,closed,35.19,Requested a refund for a duplicate charge.
2,CUST-000004,2026-07-21,2026-07-22,other,low,closed,25.43,Requested a copy of past invoices.
3,CUST-000005,2026-07-27,2026-07-28,technical,low,closed,42.79,App crashes when loading the dashboard view.
4,CUST-000005,2026-06-13,,billing,low,open,,Asked why the monthly charge increased without notice.
5,CUST-000007,2026-08-16,2026-08-17,technical,low,closed,40.06,App crashes when loading the dashboard view.
6,CUST-000007,2026-05-22,,technical,medium,open,,Feature X is not syncing data correctly.
7,CUST-000008,2026-06-26,2026-06-27,technical,medium,closed,30.4,Reported repeated login failures over the past week.
8,CUST-000008,2026-04-25,,other,medium,open,,General question about plan upgrade options.
9,CUST-000009,2026-05-14,2026-05-15,other,low,closed,40.76,General question about plan upgrade options.
10,CUST-000009,2026-06-05,2026-06-06,other,high,closed,39.03,Requested a copy of past invoices.
11,CUST-000010,2026-07-20,2026-07-21,other,medium,closed,41.03,Requested a copy of past invoices.
12,CUST-000010,2026-07-23,2026-07-24,technical,medium,closed,29.54,Requested help configuring an integration.
13,CUST-000010,2026-03-26,2026-03-26,billing,low,closed,16.93,Requested a refund for a duplicate charge.
14,CUST-000012,2026-09-03,,technical,medium,open,,Requested help configuring an integration.
15,CUST-000014,2026-04-11,2026-04-11,billing,high,closed,13.85,Asked why the monthly charge increased without notice.
16,CUST-000015,2026-06-27,,billing,low,open,,Asked why the monthly charge increased without notice.
17,CUST-000015,2026-09-07,,billing,high,open,,Asked why the monthly charge increased without notice.
18,CUST-000017,2026-04-14,2026-04-15,technical,high,closed,35.1,Reported repeated login failures over the past week.
19,CUST-000018,2026-08-20,2026-08-21,other,low,closed,43.57,Asked about cancellation policy and notice period.
20,CUST-000018,2026-04-14,2026-04-14,other,high,closed,2.51,Asked about cancellation policy and notice period.
21,CUST-000018,2026-06-27,2026-06-28,billing,low,closed,25.78,Requested a refund for a duplicate charge.
22,CUST-000018,2026-06-12,,billing,medium,open,,Reported a failed payment and requested a retry.
23,CUST-000018,2026-05-08,,billing,low,open,,Customer disputes a charge on their most recent invoice.
24,CUST-000020,2026-06-28,2026-06-29,technical,medium,closed,35.2,Requested help configuring an integration.
25,CUST-000020,2026-08-16,2026-08-16,other,high,closed,22.22,Asked about cancellation policy and notice period.
26,CUST-000024,2026-07-07,2026-07-07,other,low,closed,20.28,Provided feedback about the onboarding experience.
27,CUST-000025,2026-06-25,2026-06-26,technical,low,closed,41.64,Feature X is not syncing data correctly.
28,CUST-000026,2026-08-05,2026-08-08,billing,medium,closed,74.08,Reported a failed payment and requested a retry.
29,CUST-000027,2026-07-24,,technical,medium,open,,App crashes when loading the dashboard view.
30,CUST-000027,2026-05-12,2026-05-13,billing,medium,closed,31.05,Customer disputes a charge on their most recent invoice.
31,CUST-000028,2026-05-24,,technical,medium,open,,Requested help configuring an integration.
32,CUST-000028,2026-04-13,2026-04-16,billing,medium,closed,82.79,Asked why the monthly charge increased without notice.
33,CUST-000029,2026-08-28,2026-08-29,other,medium,closed,26.25,General question about plan upgrade options.
34,CUST-000032,2026-03-25,2026-03-26,technical,low,closed,34.32,App crashes when loading the dashboard view.
35,CUST-000033,2026-03-26,2026-03-26,billing,low,closed,9.46,Requested a refund for a duplicate charge.
36,CUST-000033,2026-07-21,2026-07-23,other,medium,closed,68.9,Requested a copy of past invoices.
37,CUST-000034,2026-05-19,2026-05-20,billing,high,closed,29.25,Reported a failed payment and requested a retry.
38,CUST-000036,2026-04-25,2026-04-26,billing,low,closed,37.31,Requested a refund for a duplicate charge.
39,CUST-000036,2026-05-15,2026-05-16,technical,medium,closed,24.01,Reported repeated login failures over the past week.
40,CUST-000036,2026-05-24,2026-05-24,billing,high,closed,4.6,Asked why the monthly charge increased without notice.
41,CUST-000037,2026-06-27,2026-06-28,technical,high,closed,28.52,Requested help configuring an integration.
42,CUST-000039,2026-08-19,2026-08-20,technical,low,closed,27.48,App crashes when loading the dashboard view.
43,CUST-000040,2026-07-23,2026-07-24,technical,medium,closed,30.57,App crashes when loading the dashboard view.
44,CUST-000040,2026-05-12,2026-05-13,technical,medium,closed,44.17,Reported repeated login failures over the past week.
45,CUST-000042,2026-08-21,2026-08-22,technical,medium,closed,40.61,Reported repeated login failures over the past week.
46,CUST-000042,2026-09-09,2026-09-10,billing,medium,closed,25.23,Asked why the monthly charge increased without notice.
47,CUST-000043,2026-07-28,2026-07-29,technical,high,closed,43.03,Requested help configuring an integration.
48,CUST-000043,2026-06-05,2026-06-06,technical,medium,closed,26.15,Requested help configuring an integration.
49,CUST-000046,2026-07-06,2026-07-07,billing,high,closed,41.58,Reported a failed payment and requested a retry.
50,CUST-000047,2026-08-05,,technical,medium,open,,Requested help configuring an integration.
51,CUST-000047,2026-04-19,2026-04-22,technical,low,closed,81.96,Feature X is not syncing data correctly.
52,CUST-000047,2026-05-30,2026-06-02,billing,medium,closed,82.2,Requested a refund for a duplicate charge.
53,CUST-000047,2026-08-16,2026-08-16,billing,low,closed,17.13,Requested a refund for a duplicate charge.
54,CUST-000048,2026-03-21,2026-03-21,technical,medium,closed,15.76,App crashes when loading the dashboard view.
55,CUST-000048,2026-08-20,,billing,medium,open,,Reported a failed payment and requested a retry.
56,CUST-000050,2026-04-18,,billing,high,open,,Requested a refund for a duplicate charge.
57,CUST-000050,2026-06-16,,other,high,open,,Provided feedback about the onboarding experience.
58,CUST-000050,2026-04-03,2026-04-03,billing,low,closed,22.02,Asked why the monthly charge increased without notice.
59,CUST-000051,2026-08-02,2026-08-03,other,medium,closed,27.62,Provided feedback about the onboarding experience.
60,CUST-000051,2026-09-09,,technical,high,open,,App crashes when loading the dashboard view.
61,CUST-000051,2026-08-05,,billing,medium,open,,Requested a refund for a duplicate charge.
62,CUST-000051,2026-05-30,,technical,low,open,,Requested help configuring an integration.
63,CUST-000052,2026-05-20,2026-05-20,billing,medium,closed,21.4,Requested a refund for a duplicate charge.
64,CUST-000053,2026-07-30,,other,high,open,,Provided feedback about the onboarding experience.
65,CUST-000054,2026-09-09,2026-09-09,technical,low,closed,2.08,App crashes when loading the dashboard view.
66,CUST-000055,2026-08-05,2026-08-06,technical,low,closed,36.99,App crashes when loading the dashboard view.
67,CUST-000056,2026-07-01,2026-07-01,billing,medium,closed,22.6,Asked why the monthly charge increased without notice.
68,CUST-000057,2026-04-02,,technical,low,open,,Requested help configuring an integration.
69,CUST-000060,2026-03-21,2026-03-21,technical,medium,closed,20.73,Reported repeated login failures over the past week.
70,CUST-000060,2026-08-27,2026-08-27,technical,medium,closed,17.7,Reported repeated login failures over the past week.
71,CUST-000060,2026-05-05,2026-05-06,technical,low,closed,35.42,Reported repeated login failures over the past week.
72,CUST-000060,2026-03-28,,technical,low,open,,Feature X is not syncing data correctly.
